Date;Fitted_values
20/10/2000;-292.228005
23/10/2000;-285.7166933
24/10/2000;-284.7179607
25/10/2000;-325.7787967
26/10/2000;-325.9538941
27/10/2000;-300.6427916
30/10/2000;-261.5432684
31/10/2000;-236.3649278
01/11/2000;-230.3505649
02/11/2000;-226.4288025
03/11/2000;-221.081608
06/11/2000;-214.5346443
07/11/2000;-217.954543
08/11/2000;-235.0182895
09/11/2000;-244.0146423
10/11/2000;-278.4770967
13/11/2000;-309.0738446
14/11/2000;-272.0320223
15/11/2000;-257.5683108
16/11/2000;-273.1858503
17/11/2000;-280.6430694
20/11/2000;-304.3926708
21/11/2000;-304.479032
22/11/2000;-325.8924715
24/11/2000;-294.6839113
27/11/2000;-297.036092
28/11/2000;-304.6487776
29/11/2000;-298.4351388
30/11/2000;-327.8014072
01/12/2000;-345.603669
04/12/2000;-331.8169649
05/12/2000;-272.7166945
06/12/2000;-291.2871733
07/12/2000;-303.990834
08/12/2000;-275.833078
11/12/2000;-253.9991913
12/12/2000;-249.8117499
13/12/2000;-274.2481929
14/12/2000;-283.7283819
15/12/2000;-316.8905268
18/12/2000;-304.2508724
19/12/2000;-320.6637891
20/12/2000;-366.2760782
21/12/2000;-353.0060564
22/12/2000;-314.5677216
26/12/2000;-292.4899193
27/12/2000;-284.4422747
28/12/2000;-274.8260011
29/12/2000;-283.7215663
02/01/2001;-316.6530592
03/01/2001;-254.2818299
04/01/2001;-254.1144051
05/01/2001;-292.4366439
08/01/2001;-294.6750261
09/01/2001;-279.2597154
10/01/2001;-274.4071328
11/01/2001;-254.7810363
12/01/2001;-260.560104
16/01/2001;-251.5801644
17/01/2001;-259.8831816
18/01/2001;-237.8701019
19/01/2001;-244.4326892
22/01/2001;-241.5804217
23/01/2001;-224.1695099
24/01/2001;-218.7721826
25/01/2001;-221.7582075
26/01/2001;-215.2184911
29/01/2001;-213.6141592
30/01/2001;-190.7633585
31/01/2001;-195.9323082
01/02/2001;-186.3528893
02/02/2001;-207.9517792
05/02/2001;-202.1289191
06/02/2001;-197.4512874
07/02/2001;-209.1939243
08/02/2001;-216.0442276
09/02/2001;-243.5511861
12/02/2001;-228.6897638
13/02/2001;-235.0709622
14/02/2001;-230.7171491
15/02/2001;-228.2774245
16/02/2001;-246.4640405
20/02/2001;-269.4033
21/02/2001;-289.9076847
22/02/2001;-287.0230248
23/02/2001;-305.2238145
26/02/2001;-282.1261368
27/02/2001;-287.333634
28/02/2001;-306.035878
01/03/2001;-318.4429494
02/03/2001;-324.8414353
05/03/2001;-319.2099773
06/03/2001;-303.2181082
07/03/2001;-295.1743918
08/03/2001;-291.9320402
09/03/2001;-318.2978053
12/03/2001;-364.6288276
13/03/2001;-360.788663
14/03/2001;-378.8218487
15/03/2001;-372.3522155
16/03/2001;-392.8526003
19/03/2001;-369.5223242
20/03/2001;-390.7445358
21/03/2001;-406.4106562
22/03/2001;-410.8426389
23/03/2001;-381.7940934
26/03/2001;-367.4959107
27/03/2001;-334.8026262
28/03/2001;-353.4607656
29/03/2001;-351.7336574
30/03/2001;-344.2783822
02/04/2001;-345.8225973
03/04/2001;-380.08485
04/04/2001;-379.0109736
05/04/2001;-321.7945424
06/04/2001;-343.80996
09/04/2001;-336.7839085
10/04/2001;-301.8810451
11/04/2001;-293.8728952
12/04/2001;-283.4707055
16/04/2001;-283.7863208
17/04/2001;-272.0408426
18/04/2001;-221.7948298
