Date,Residuals
2000-01-03,-0.00021064313275122277
2000-01-04,-0.03933307949733917
2000-01-05,-0.0026980955291153897
2000-01-06,0.0004237991772756774
2000-01-07,0.027058031480826437
2000-01-10,0.012719844914817004
2000-01-11,-0.012681790636388024
2000-01-12,-0.007576487660998851
2000-01-13,0.012809125426800481
2000-01-14,0.011921711399209979
2000-01-18,-0.0034349139179481393
2000-01-19,-0.0009282037526728659
2000-01-20,-0.007873051621739804
2000-01-21,-0.0020192179152948154
2000-01-24,-0.029323315437093208
2000-01-25,0.003223575350920356
2000-01-26,-0.0061461782361289545
2000-01-27,-0.0037253904144995908
2000-01-28,-0.02979798447817057
2000-01-31,0.02172122819616458
2000-02-01,0.010634660543028982
2000-02-02,0.0015399296062636794
2000-02-03,0.010033254165236788
2000-02-04,0.0014913572381574966
2000-02-07,0.00010945566126455119
2000-02-08,0.012766907762065263
2000-02-09,-0.018295434110217414
2000-02-10,0.0017852574079671698
2000-02-11,-0.021172382594650502
2000-02-14,-0.0010732319762020185
2000-02-15,0.010630018868190145
2000-02-16,-0.01149535576326403
2000-02-17,-0.0028418386821048598
2000-02-18,-0.030723343760473466
2000-02-22,0.000375402589654252
2000-02-23,0.006558199604055756
2000-02-24,-0.005314837386156291
2000-02-25,-0.016324472610069196
2000-02-28,0.009424835277418539
2000-02-29,0.012344223840916818
2000-03-01,0.013142561601799184
2000-03-02,0.0015182458766866316
2000-03-03,0.0199968268451981
2000-03-06,-0.010377796404227565
2000-03-07,-0.02598797908176436
2000-03-08,0.0066261202334999166
2000-03-09,0.025986572168609903
2000-03-10,-0.0018320829649446416
2000-03-13,-0.009665247511094018
2000-03-14,-0.01925143079173936
2000-03-15,0.021413881147122917
2000-03-16,0.048555173700054514
2000-03-17,0.009272037029456427
2000-03-20,-0.004265608060762673
2000-03-21,0.023161742716481026
2000-03-22,0.007595062885974743
2000-03-23,0.02196261208260117
2000-03-24,0.0022096247014905773
2000-03-27,-0.0034621351560643813
2000-03-28,-0.01041076626690654
2000-03-29,0.0005014706997221532
2000-03-30,-0.01384685890936346
2000-03-31,0.004651674185196752
2000-04-03,0.002133875852257146
2000-04-04,-0.006666773391570041
2000-04-05,-0.006490006572964415
2000-04-06,0.007006675193326142
2000-04-07,0.0098818815631484
2000-04-10,-0.006823380249217794
2000-04-11,-0.0036675104061251827
2000-04-12,-0.023482345882475084
2000-04-13,-0.01971885122153122
2000-04-14,-0.06300680110901
2000-04-17,0.026284889601489548
2000-04-18,0.029446273831000958
2000-04-19,-0.006647425726332128
2000-04-20,0.00040634933138550787
2000-04-24,-0.0034408771797222576
2000-04-25,0.031721582748635256
2000-04-26,-0.005570451950147116
2000-04-27,0.0023018954749632727
2000-04-28,-0.007167043177870789
2000-05-01,0.011819252828253945
2000-05-02,-0.0159504308255149
2000-05-03,-0.01876276410504071
2000-05-04,-0.010396481428938724
2000-05-05,0.015592081501729074
2000-05-08,-0.005703530308917443
2000-05-09,-0.007414612551453615
2000-05-10,-0.024031382242176595
2000-05-11,0.01255817721408169
2000-05-12,0.012520966751667703
2000-05-15,0.02311621155064165
2000-05-16,0.01162272601663857
2000-05-17,-0.013295010022415602
2000-05-18,-0.007456583402477303
2000-05-19,-0.020516517339364795
2000-05-22,-0.006157374552735876
2000-05-23,-0.0201034598001011
2000-05-24,0.01597740697188844
2000-05-25,-0.012034154879706908
2000-05-26,-0.004200433964014509
2000-05-30,0.02796288247056694
2000-05-31,0.0025452351237010835
2000-06-01,0.018451743584079108
2000-06-02,0.02222334165356919
2000-06-05,-0.003647043406479728
2000-06-06,-0.005651758703257164
2000-06-07,0.009353987794043468
2000-06-08,-0.00597036527214123
2000-06-09,-0.0006931292536505756
2000-06-12,-0.010885409341588295
2000-06-13,0.015899431375236053
2000-06-14,0.0018293748360219155
2000-06-15,0.004361567596517435
2000-06-16,-0.010612479414444199
2000-06-19,0.013673106774495002
2000-06-20,-0.005824584777689299
2000-06-21,0.0018257948084362107
2000-06-22,-0.018397314936221057
2000-06-23,-0.009309047633506536
2000-06-26,0.0074894233594847166
2000-06-27,-0.0021769982755491745
2000-06-28,0.0023928947185847117
2000-06-29,-0.009738935166844478
2000-06-30,0.006266350454519192
2000-07-03,0.010967585123121317
2000-07-05,-0.01358642334735489
2000-07-06,0.003839932234717101
2000-07-07,0.016490942905946264
2000-07-10,-0.0008843515434057321
2000-07-11,0.00469575004855689
2000-07-12,0.007462966648798065
2000-07-13,0.002632158967314527
2000-07-14,0.010613071713911229
2000-07-17,0.0005751654435551627
2000-07-18,-0.00984901156343827
2000-07-19,-0.009640330756382938
2000-07-20,0.007581032913797874
2000-07-21,-0.008965292722580748
2000-07-24,-0.011756212416826898
2000-07-25,0.003440001040849861
2000-07-26,-0.014982844728566449
2000-07-27,-0.003582166435984528
2000-07-28,-0.02217194862265789
2000-07-31,0.004541857097406331
2000-08-01,0.00510739019338553
2000-08-02,0.0010130283834226105
2000-08-03,0.008172670960404381
2000-08-04,0.008802536168066161
2000-08-07,0.010461959858512757
2000-08-08,0.0049176575499460425
2000-08-09,-0.006037077467195468
2000-08-10,-0.008604362422572233
2000-08-11,0.007823826550293072
2000-08-14,0.013772459341230217
2000-08-15,-0.001641135000002192
2000-08-16,-0.005490147169163158
2000-08-17,0.009924634385889383
2000-08-18,-0.002007972101717103
2000-08-21,0.005562334920803983
2000-08-22,-0.0011669705204637008
2000-08-23,0.004723901190111084
2000-08-24,0.0022640478466102202
2000-08-25,-0.0012861207380769554
2000-08-28,0.0048051246469210974
2000-08-29,-0.002481165152319578
